client,feature,ks_stat
client_3,dst2src_syn_packets,0.14190715312168245
client_3,dst2src_cwr_packets,0.0
client_3,dst2src_ece_packets,0.0
client_3,dst2src_urg_packets,0.0
client_3,dst2src_ack_packets,0.14733894263814462
client_3,dst2src_psh_packets,0.07916403699174646
client_3,dst2src_rst_packets,0.1775693292514423
client_3,dst2src_fin_packets,0.13661413195053151
client_3,application_is_guessed,0.06940477305557302
client_3,application_confidence,0.12950720869580618
client_3,udps.heartbeat_request_counter,0.0
client_3,udps.heartbeat_response_counter,0.0
client_3,udps.pfd_management_request_counter,0.0
client_3,udps.pfd_management_response_counter,0.0
client_3,udps.association_setup_request_counter,0.0
client_3,udps.association_setup_response_counter,0.0
client_3,udps.association_update_request_counter,0.0
client_4,id,0.32399856723681486
client_4,expiration_id,0.23523733782876932
client_4,src_port,0.2733928340593054
client_4,dst_port,0.21542982364453844
client_4,protocol,0.24541058454353992
client_4,ip_version,1.758654268735338e-05
client_4,vlan_id,0.0
client_4,tunnel_id,0.006029506486379899
client_4,bidirectional_first_seen_ms,0.2748094858664891
client_4,bidirectional_last_seen_ms,0.2748094858664891
client_4,bidirectional_duration_ms,0.28009077199720045
client_4,bidirectional_packets,0.3072034367053791
client_4,bidirectional_bytes,0.3140011405031992
client_4,src2dst_first_seen_ms,0.2748094858664891
client_4,src2dst_last_seen_ms,0.2748094858664891
client_4,src2dst_duration_ms,0.27995244980031336
client_4,src2dst_packets,0.31177232257347154
client_4,src2dst_bytes,0.3205491932384659
client_4,dst2src_first_seen_ms,0.39937406023124866
client_4,dst2src_last_seen_ms,0.39937406023124866
client_4,dst2src_duration_ms,0.08953014530020786
client_4,dst2src_packets,0.37074914888610566
client_4,dst2src_bytes,0.37074914888610566
client_4,bidirectional_min_ps,0.16139845116775509
client_4,bidirectional_mean_ps,0.14883527416982534
client_4,bidirectional_stddev_ps,0.2739403092786249
client_4,bidirectional_max_ps,0.147487257114166
client_4,src2dst_min_ps,0.1533825293013925
client_4,src2dst_mean_ps,0.15442875274644396
client_4,src2dst_stddev_ps,0.10397834828180441
client_4,src2dst_max_ps,0.1452020440573032
client_4,dst2src_min_ps,0.37074914888610566
client_4,dst2src_mean_ps,0.37074914888610566
client_4,dst2src_stddev_ps,0.10623550882136246
client_4,dst2src_max_ps,0.37074914888610566
client_4,bidirectional_min_piat_ms,0.24779865408583013
client_4,bidirectional_mean_piat_ms,0.21183701425183854
client_4,bidirectional_stddev_piat_ms,0.19862292077203408
client_4,bidirectional_max_piat_ms,0.22135505754425777
client_4,src2dst_min_piat_ms,0.22910349921708817
client_4,src2dst_mean_piat_ms,0.19197193380274274
client_4,src2dst_stddev_piat_ms,0.21997192820864403
client_4,src2dst_max_piat_ms,0.21950450221668344
client_4,dst2src_min_piat_ms,0.08610578307310734
client_4,dst2src_mean_piat_ms,0.09950273444476865
client_4,dst2src_stddev_piat_ms,0.05071903188543703
client_4,dst2src_max_piat_ms,0.08953014530020786
client_4,bidirectional_syn_packets,0.15954487108721704
client_4,bidirectional_cwr_packets,0.0
client_4,bidirectional_ece_packets,0.0
client_4,bidirectional_urg_packets,0.0
client_4,bidirectional_ack_packets,0.32652053094793865
client_4,bidirectional_psh_packets,0.04551240309311122
client_4,bidirectional_rst_packets,0.1836995867699741
client_4,bidirectional_fin_packets,0.0985750001786635
client_4,src2dst_syn_packets,0.15954487108721704
client_4,src2dst_cwr_packets,0.0
client_4,src2dst_ece_packets,0.0
client_4,src2dst_urg_packets,0.0
client_4,src2dst_ack_packets,0.20533403923485838
client_4,src2dst_psh_packets,0.049007856515706716
client_4,src2dst_rst_packets,0.002383357122218932
client_4,src2dst_fin_packets,0.07353318044329782
client_4,dst2src_syn_packets,0.053032182499356595
client_4,dst2src_cwr_packets,0.0
client_4,dst2src_ece_packets,0.0
client_4,dst2src_urg_packets,0.0
client_4,dst2src_ack_packets,0.2543592043934799
client_4,dst2src_psh_packets,0.02069475299051804
client_4,dst2src_rst_packets,0.1813315668649348
client_4,dst2src_fin_packets,0.05348887696802851
client_4,application_is_guessed,0.262165312090068
client_4,application_confidence,0.17821359808347753
client_4,udps.heartbeat_request_counter,0.0
client_4,udps.heartbeat_response_counter,0.0
client_4,udps.pfd_management_request_counter,0.0
client_4,udps.pfd_management_response_counter,0.0
client_4,udps.association_setup_request_counter,0.0
client_4,udps.association_setup_response_counter,0.0
client_4,udps.association_update_request_counter,0.0
