,id,expiration_id,src_port,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets
bidirectional_mean_ps,-0.08035346959502732,-0.1702550142547784,-0.11035036096384956,0.1250559112962759,0.12123658780799662,-0.00983923281389192,0.0,0.40475966969640964,-0.19643379506553493,-0.19646778088240519,0.07501759878450705,-0.07600053392234346,0.3542462894128118,-0.19643379506553493,-0.1964687657778346,0.09740925040679649,0.11740744235134967,0.4958700513188385,-0.40326511977463264,-0.4032697458521755,0.19770987658948458,-0.12411680987465827,-0.05718089937747464,0.7577594028849058,1.0,0.012623395613477643,0.9917198312168405,0.8450802666228988,0.9174340131165339,0.12900690215558647,0.9524472636686582,-0.1325782965174222,-0.08590694615672449,0.09969296165634432,-0.0868650989927217,-0.1649735953103508,0.10086400697406918,0.17316226110540214,0.17719875836964732,-0.16418272976546203,0.15860247866195556,0.21206501344267562,0.20288299203424914,-0.12374750487888986,0.1706760140444863,0.2728420100257545,0.1866062930799054,-0.058787906366374904,0.0,0.0,0.0,-0.17103148828627057,0.26158106254275293,-0.40578979570295204,0.07875127249473048,-0.1093652881478319,0.0,0.0,0.0,-0.017597524610982854
bidirectional_stddev_ps,0.2082650391766626,-0.28984305841183633,0.08313020069400796,-0.2286870084758188,-0.4025614286759839,-0.008040962885403157,0.0,-0.14142824311930086,-0.18814258131245218,-0.1880189325024984,0.11766588882938822,0.3027222886116087,0.21169366242284207,-0.18814258131245218,-0.18801971784147029,0.08960293277950311,0.14425794410818868,0.004561922054961114,0.6528265398155549,0.6528326556666316,0.7101247914447192,0.8764556203046557,0.8677769233794701,-0.4301321950159305,0.012623395613477643,1.0,0.08515333614097946,-0.24942311309354495,-0.11921154107616166,0.712075701959105,-0.016626228426989565,0.7520263818868504,0.7891303741056597,0.668135334807558,0.8027561211502513,-0.31443852005627493,0.21191504201532685,0.3260894395097269,0.31019877523690903,-0.09150365180547616,0.26803923880286856,0.2831096879408516,0.28672058768214603,0.37235762259043914,0.6998492178263235,0.6174497912960574,0.7058155560269875,0.5984499921718534,0.0,0.0,0.0,0.6040891206898196,0.5941851611018502,0.16563549531581526,0.38084148641522847,0.5658740747763428,0.0,0.0,0.0,0.43305574393346596
bidirectional_max_ps,-0.06128399151277972,-0.19272354915934287,-0.09593538520708385,0.10700481037334554,0.0863845399218262,-0.011342466675273732,0.0,0.39408669611586283,-0.22075438985776785,-0.2207658429861687,0.0901515692614088,-0.05162349285161236,0.36594682301248554,-0.22075438985776785,-0.22076684758883758,0.11055572375283124,0.1310497162317795,0.4981174455749912,-0.3618322023996641,-0.36182781918196016,0.25988772562161283,-0.05634575360876187,0.0091407563494564,0.7232151939138524,0.9917198312168405,0.08515333614097946,1.0,0.8147262544971576,0.9017352774153764,0.19489576540007278,0.9501333254058616,-0.07627532717973275,-0.024772742964982462,0.16676722283524997,-0.023081379896364333,-0.18626673981794065,0.12882437712399197,0.2133720805521594,0.21277633936305926,-0.15829213438465964,0.19347117586983473,0.24896723584994412,0.23668753137946152,-0.08420464756511703,0.23401604460795708,0.325182183066959,0.25000251443704197,0.0040876008497628446,0.0,0.0,0.0,-0.10921208960323918,0.3160325077149148,-0.393481317174215,0.12959043230366002,-0.052464066940215506,0.0,0.0,0.0,0.03416847782606701
src2dst_min_ps,-0.04204148407739584,-0.1335041335497045,-0.16574722080541188,0.1356653902556412,0.1841894312960388,-0.008882840971208446,0.0,0.5239809870844057,-0.04659193546362278,-0.04662616450743346,-0.06870568288520033,-0.2543558409259299,0.18377251878910913,-0.04659193546362278,-0.04662637324670966,-0.04794469369698219,-0.06054996766640413,0.3624571368279073,-0.47590834269167376,-0.4759074888184855,-0.10223425963896436,-0.3700839228343378,-0.30677715903203484,0.8812657859729031,0.8450802666228988,-0.24942311309354495,0.8147262544971576,1.0,0.9513593221602794,-0.18852315748070095,0.8922982292081253,-0.2976296894995514,-0.32142906437696084,-0.24637815868636928,-0.32640881423108714,-0.11488891040800335,-0.03701299850082011,-0.029388473418481754,-0.014111747603125469,-0.1730133307741884,-0.022681746771705123,-0.004561822979620243,0.006387130720014476,-0.1445442582812016,-0.10872494681616775,-0.038770139089662974,-0.10399799755524806,-0.29186625881445605,0.0,0.0,0.0,-0.40822016501322245,-0.10089127955456735,-0.4136535752408465,-0.1837624757472247,-0.30200669858438256,0.0,0.0,0.0,-0.27862223638094086
src2dst_mean_ps,-0.06654885968754011,-0.15515999465198724,-0.1351870437384777,0.09579186099186299,0.14572582922103405,-0.009907920567882495,0.0,0.4882596450301591,-0.0980849584336204,-0.09812110773851565,0.0005954437417666665,-0.1709960526853806,0.2610552197787803,-0.0980849584336204,-0.09812131135482853,0.02180363142619324,0.020461708248673452,0.4302061905821604,-0.42818440117566786,-0.42818611198136297,0.05006270471059048,-0.2496634417310832,-0.18666544444388314,0.8377090727249565,0.9174340131165339,-0.11921154107616166,0.9017352774153764,0.9513593221602794,1.0,-0.02113360434247386,0.9707858354442568,-0.2152544220787798,-0.2185516098099686,-0.0925887560387342,-0.2208923822031097,-0.14402270993069377,0.03262680929361749,0.06643408114587417,0.08230712834206941,-0.1667907839727072,0.06591886869336427,0.09657082620073204,0.10458111368208461,-0.113400811319511,0.031402777695714826,0.1014107572665705,0.041401637915513496,-0.16378061000329466,0.0,0.0,0.0,-0.28836476664195765,0.07395035598331591,-0.4079043101774684,-0.08654526895622318,-0.1934253552274682,0.0,0.0,0.0,-0.15191579019797657
src2dst_stddev_ps,0.13703968707264966,-0.15380876357142712,-0.09074086376991883,-0.20166347925729045,-0.339059173889407,-0.0049828379847136955,0.0,-0.045327386369107256,-0.23608407959257838,-0.2359354278186511,0.3062492400953613,0.3511444894800453,0.3376391322477793,-0.23608407959257838,-0.2359351520252485,0.31027315268092526,0.3656271089162188,0.2868613593966793,0.34963252159906016,0.3496458142313599,0.8341409079239164,0.6828462661737651,0.6780771393193249,-0.21385572141805098,0.12900690215558647,0.712075701959105,0.19489576540007278,-0.18852315748070095,-0.02113360434247386,1.0,0.1124574806754691,0.49717336214756347,0.5607024550841678,0.9125529030400775,0.5873432344657817,-0.24671038833071576,0.3896757294039439,0.5440502222895823,0.491061917159823,0.15997206301743022,0.49655016272424446,0.4773984549885781,0.5007994706578662,0.5797675840179155,0.8366775804960933,0.6617527961295903,0.8344917146570652,0.48670738603892727,0.0,0.0,0.0,0.41580333009380366,0.45287848589944313,-0.1606617641461859,0.5847095798086116,0.38844194227281215,0.0,0.0,0.0,0.5020421277661332
src2dst_max_ps,-0.049851634152864054,-0.1749902977046991,-0.122300013747794,0.07255988121961673,0.10714533235346752,-0.01110354086199343,0.0,0.43655009426952446,-0.15873901341026758,-0.15874894119497088,0.05121236672454865,-0.11195863275969878,0.3143521380723252,-0.15873901341026758,-0.15874912834522015,0.07289710281939049,0.07673107516013636,0.47005279481679213,-0.39273021520452606,-0.39272502082265226,0.16600600286002892,-0.15244232845950073,-0.08943627461454894,0.7845956244138244,0.9524472636686582,-0.016626228426989565,0.9501333254058616,0.8922982292081253,0.9707858354442568,0.1124574806754691,1.0,-0.15410798322881192,-0.12547003396466114,0.04598907940538967,-0.12603868899188686,-0.1670790336485126,0.09215328064053986,0.15272915500639753,0.16247186671361483,-0.14495100975714037,0.145849221119266,0.1820985293002343,0.18619816948016366,-0.08049729743791084,0.14648555502254793,0.21995116971574,0.15850359548618267,-0.061196770189820796,0.0,0.0,0.0,-0.19500946782707818,0.1886158753241568,-0.41135362260446356,0.025374891695432084,-0.10711523089059498,0.0,0.0,0.0,-0.05364602602610667
dst2src_min_ps,0.2923772044472036,-0.3702317902966788,0.2740257525376387,-0.3671495052420926,-0.5046620703027699,-0.009481339210723111,0.0,0.07369373893017361,-0.12468640826555562,-0.12452683767325406,-0.06994720859803094,0.19392374864158368,0.08516119982193661,-0.12468640826555562,-0.12452777375403899,-0.1131823611884024,-0.07911123363882469,-0.24158506500244,0.8216569165488039,0.8216486066811384,0.4896991796167612,0.887595094126389,0.9330029845291024,-0.3599390970933335,-0.1325782965174222,0.7520263818868504,-0.07627532717973275,-0.2976296894995514,-0.2152544220787798,0.49717336214756347,-0.15410798322881192,1.0,0.9843876889146237,0.47902156972300436,0.9816482263053592,-0.3283101140024809,0.029195777026294684,0.11075846400763659,0.10406282393343524,-0.1532700635691529,0.06352390912112019,0.06541094210937816,0.06552112428973768,0.3352733153073229,0.4884070580291199,0.39196610685808303,0.4894043274367529,0.5336285866327645,0.0,0.0,0.0,0.8160011480145242,0.4483493030216964,0.4127959483293752,0.48143410760952116,0.5121948662022535,0.0,0.0,0.0,0.6544063697994597
dst2src_mean_ps,0.27960205015167255,-0.37012268846578694,0.28045559733741254,-0.3501508437744822,-0.5020846679884047,-0.009471391324211657,0.0,0.03331340072744625,-0.161621700471937,-0.1614832714800104,-0.03812933379114694,0.22062662347308543,0.114078005872269,-0.161621700471937,-0.16148413401862977,-0.0790054914388597,-0.03972318971256915,-0.20446055866145704,0.8022152270049157,0.8022113489430978,0.550851561505531,0.9128666250801402,0.9546886245251325,-0.3798951503050476,-0.08590694615672449,0.7891303741056597,-0.024772742964982462,-0.32142906437696084,-0.2185516098099686,0.5607024550841678,-0.12547003396466114,0.9843876889146237,1.0,0.555210701744413,0.9980589764091248,-0.33429456088872367,0.0605492853628454,0.15703503075876651,0.14609614048489258,-0.14875404286121352,0.10676739449010701,0.11784230819957632,0.11038934540807216,0.32617198947728754,0.5480277264212802,0.4680696567038261,0.5503360388513736,0.5870518265406209,0.0,0.0,0.0,0.8414904789756056,0.5163908709976311,0.39755246681897227,0.5288088549709608,0.5556161464168409,0.0,0.0,0.0,0.6904492580615726
dst2src_stddev_ps,0.1244987317235695,-0.1915547971466338,-0.06251924880272511,-0.21245226743214582,-0.3808075228202907,-0.004619742975578305,0.0,-0.00865898515839799,-0.23446544422907373,-0.23464579521763196,0.24978400129080014,0.312742154462769,0.29814025406142913,-0.23446544422907373,-0.23464599879295603,0.2525254762842923,0.31953344403657213,0.23596393504189392,0.31980851010528377,0.3199096587488607,0.8072986195514398,0.6509904867655343,0.6465766938458656,-0.18646154929030553,0.09969296165634432,0.668135334807558,0.16676722283524997,-0.24637815868636928,-0.0925887560387342,0.9125529030400775,0.04598907940538967,0.47902156972300436,0.555210701744413,1.0,0.5843595197395522,-0.22938153921944765,0.31952657468297646,0.47689100136216517,0.4212911427536699,0.15654002578286866,0.4342516091809355,0.4107978644936015,0.43003800659538,0.5912136642033443,0.8129832788728796,0.6234094506864721,0.8088849314124376,0.49481239440930436,0.0,0.0,0.0,0.4365513123577382,0.4974014424809884,-0.13860719651492076,0.5929142034139834,0.3983904477092827,0.0,0.0,0.0,0.5137789291556565
dst2src_max_ps,0.27568747926186377,-0.37028860990176304,0.2619838102924622,-0.35615806571271175,-0.5112831654119758,-0.009480834855184844,0.0,0.02844067898218663,-0.16392208163051833,-0.1637909971633536,-0.028080876301283874,0.22959286640422935,0.12360742552302119,-0.16392208163051833,-0.16379184491199014,-0.06777501040489352,-0.025172366869871326,-0.19104652431419572,0.8015306822128687,0.8015309132224023,0.5730705327794675,0.9230682475629094,0.9626961013008237,-0.38445575045455616,-0.0868650989927217,0.8027561211502513,-0.023081379896364333,-0.32640881423108714,-0.2208923822031097,0.5873432344657817,-0.12603868899188686,0.9816482263053592,0.9980589764091248,0.5843595197395522,1.0,-0.3380218828644225,0.06968448481573036,0.17063831476352231,0.15773270834790037,-0.14263608497105607,0.11880596495777242,0.12519194797294073,0.12331130801109491,0.3421699954464655,0.569737499214552,0.4832719443578123,0.57222411220871,0.5800030247998442,0.0,0.0,0.0,0.8322535583548096,0.52586465738304,0.3747279053842997,0.5337399797242405,0.5460519978537042,0.0,0.0,0.0,0.6898438267646745
bidirectional_min_piat_ms,-0.1656381994684685,0.7545861512329295,-0.3124430948454286,0.18842530497038068,0.3721954462802205,-0.005537574630188545,0.0,-0.10286044717639092,0.014150990733606659,0.014200394230216634,0.6886590835391337,0.5552630984999769,0.4991973206295941,0.014150990733606659,0.014198084367177783,0.6297927569914716,0.5804214644298151,0.4839340677533289,-0.31505979612103113,-0.31506707061966516,-0.2354311834259334,-0.3596614847186683,-0.35181339451504595,-0.07495846346704138,-0.1649735953103508,-0.31443852005627493,-0.18626673981794065,-0.11488891040800335,-0.14402270993069377,-0.24671038833071576,-0.1670790336485126,-0.3283101140024809,-0.33429456088872367,-0.22938153921944765,-0.3380218828644225,1.0,0.5948584182504557,0.3392208642958533,0.47986036529597675,0.7605876228714389,0.4409619713693924,0.33795623958318943,0.4141913235011446,-0.13687887967426185,-0.23369834174967327,-0.2040737564382633,-0.23488297319438753,-0.23454890999719522,0.0,0.0,0.0,-0.30479335807673075,-0.18905454683260964,-0.12315410776397004,-0.18899825409138826,-0.2265091189220087,0.0,0.0,0.0,-0.2661396388858319
bidirectional_mean_piat_ms,0.017945990430888282,0.5042645424334872,-0.3425817496989826,0.08620846230339464,0.22630938523761335,-0.009070569071621893,0.0,-0.1831850282669167,-0.20157278092750622,-0.20116833499727424,0.9399400328490085,0.8132186380533319,0.7794888683864069,-0.20157278092750622,-0.20117070478085736,0.9061868440563055,0.8633876761125914,0.7538660949435304,-0.07040536199406244,-0.07032806045797715,0.45916006310480184,0.16934191809147606,0.16966954474371376,-0.13591175346131876,0.10086400697406918,0.21191504201532685,0.12882437712399197,-0.03701299850082011,0.03262680929361749,0.3896757294039439,0.09215328064053986,0.029195777026294684,0.0605492853628454,0.31952657468297646,0.06968448481573036,0.5948584182504557,1.0,0.9097718340921569,0.9736827754315499,0.7318071639631856,0.9508050760313465,0.8771071350222199,0.9393174723752051,0.2986788237619921,0.4655276046456084,0.41576012097938614,0.46435723027934284,0.09761298000251932,0.0,0.0,0.0,-0.026346350054068348,0.05568781257768523,-0.29461792025521805,0.2505923869700227,0.02996946700484101,0.0,0.0,0.0,0.09699595733438848
bidirectional_stddev_piat_ms,0.05449277858393651,0.39974489190445617,-0.28493307989459915,0.09733915876975004,0.2076684482567946,-0.008425372382643778,0.0,-0.17787383438286722,-0.26531267841568723,-0.26498416238468214,0.8645065749774994,0.804976040261948,0.7803059558247695,-0.26531267841568723,-0.264985165099113,0.8793393949066864,0.8646154793632858,0.7655516928929588,-0.03487775717385734,-0.034839755838953435,0.6159624156288346,0.28831421785723044,0.2879448260906429,-0.1317864816070885,0.17316226110540214,0.3260894395097269,0.2133720805521594,-0.029388473418481754,0.06643408114587417,0.5440502222895823,0.15272915500639753,0.11075846400763659,0.15703503075876651,0.47689100136216517,0.17063831476352231,0.3392208642958533,0.9097718340921569,1.0,0.9390415175695196,0.6292434326207544,0.9533578982782489,0.9564581630185703,0.957390380813202,0.3861317376317229,0.6222565861025857,0.5488799502151228,0.6221076119605644,0.18320686854148296,0.0,0.0,0.0,0.07050567971478261,0.17389549042333252,-0.3458269631182284,0.3860786438498184,0.09475428508081456,0.0,0.0,0.0,0.22172516107634996
