feature,importance
cat__server_fingerprint_15af977ce25de452b96affa2addb1036,7.215082855676815e-05
cat__dst_mac_5e:fe:d9:e0:ef:2d,7.152912531388748e-05
cat__src_ip_10.70.0.10,7.138199681900085e-05
cat__src_ip_10.61.0.8,7.051912168069039e-05
cat__src_ip_10.70.0.5,6.896641979305723e-05
cat__dst_ip_10.100.200.18,6.61251607691487e-05
cat__requested_server_name_10.100.200.2,6.434581532820306e-05
cat__src_ip_10.70.0.17,6.36168983194153e-05
cat__dst_oui_ae:80:0f,6.088458077260846e-05
cat__dst_ip_104.108.227.243,6.0073857079283026e-05
cat__src_ip_10.70.0.2,5.8177856618449137e-05
cat__src_ip_10.61.0.7,5.679297363173338e-05
cat__src_ip_10.70.0.21,5.576273836385093e-05
cat__src_ip_10.70.0.8,5.4544430807255787e-05
cat__src_ip_10.61.0.3,5.4418008708346395e-05
cat__src_ip_10.100.200.20,5.3719116412079885e-05
cat__src_mac_42:bf:1e:9b:18:3d,5.3191518821314015e-05
num__src2dst_rst_packets,5.206408028944971e-05
cat__dst_ip_10.70.0.2,5.1922227104174966e-05
cat__src_ip_10.70.0.4,5.0906246776586054e-05
cat__src_ip_10.60.0.6,4.912156583922989e-05
cat__src_ip_10.70.0.20,4.8036107808167774e-05
cat__dst_oui_92:09:81,4.7807453702632624e-05
cat__src_ip_10.60.0.10,4.61266942586159e-05
cat__src_ip_10.70.0.23,4.3557284019104435e-05
cat__dst_ip_10.70.0.5,4.3339325336707186e-05
cat__dst_ip_10.70.0.8,4.239352883429287e-05
cat__dst_ip_10.70.0.3,4.1757599955747314e-05
cat__src_ip_10.70.0.9,4.0704557984182366e-05
cat__dst_ip_10.70.0.4,4.0078921416347543e-05
cat__dst_ip_10.60.0.3,3.9971147222961226e-05
cat__src_ip_10.60.0.7,3.9615686987639674e-05
cat__src_ip_10.70.0.24,3.842414918564784e-05
cat__dst_oui_56:eb:16,3.8020122804236444e-05
cat__dst_ip_10.60.0.4,3.735264873299161e-05
cat__src_ip_10.61.0.9,3.677474696126683e-05
cat__dst_ip_10.70.0.1,3.6214594866661575e-05
cat__dst_mac_0e:ff:83:28:10:66,3.529262964343266e-05
cat__application_name_FTP_CONTROL,3.480665904440721e-05
cat__dst_ip_10.70.0.6,3.471877060138551e-05
cat__src_ip_10.60.0.2,3.3170917678986175e-05
cat__src_mac_9a:a4:27:0c:59:ae,3.310079971244613e-05
cat__src_ip_10.70.0.18,3.2693795656531715e-05
cat__src_ip_10.70.0.12,3.1964475300072366e-05
