feature,chi2,p_value
cat__dst_ip_52.30.58.64,471.1506172840029,1.3735990405767936e-98
cat__src_ip_10.60.0.1,467.01540302791597,1.0670527073833961e-97
cat__dst_ip_18.202.131.124,463.78888888894045,5.28224648262311e-97
cat__dst_ip_52.94.236.248,463.78888888894045,5.28224648262311e-97
cat__dst_ip_52.49.17.168,463.78888888894045,5.28224648262311e-97
cat__dst_ip_205.251.242.103,412.2567901235026,6.471945751596382e-86
cat__src_ip_10.61.0.10,403.1345306925706,5.92335888113573e-84
cat__dst_ip_23.63.108.96,392.70033969252626,1.0367185730242461e-81
cat__dst_ip_10.60.0.10,376.3831259332263,3.3283449515483304e-78
cat__application_category_name_SocialNetwork,350.0490178323196,1.5064401538312965e-72
cat__dst_ip_10.60.0.2,323.0912831979129,9.173950186909699e-67
cat__dst_ip_49.44.178.41,319.69209542635264,4.915312143964422e-66
cat__src_ip_10.100.200.6,309.192592592627,8.763307448121853e-64
cat__src_oui_5e:fe:d9,308.1812939707236,1.4435823928053862e-63
cat__src_mac_5e:fe:d9:e0:ef:2d,308.1812939707236,1.4435823928053862e-63
cat__dst_ip_184.28.173.43,305.11968047797154,6.541042166034671e-63
cat__dst_ip_49.44.178.58,294.46913580250185,1.2523576325672315e-60
cat__server_fingerprint_77aba8c2fc7af389a21affb0253db465,252.66390720881486,1.1056082120931669e-51
cat__src_ip_10.100.200.10,242.937037037064,1.3241603217263204e-49
cat__src_ip_103.232.241.2,230.33669498878947,6.489332112272552e-47
cat__src_ip_192.168.41.45,230.33669498878947,6.489332112272552e-47
cat__src_ip_10.119.254.121,230.33669498878947,6.489332112272552e-47
cat__src_mac_56:eb:16:9c:da:6a,228.2135802469389,1.841854711768237e-46
cat__src_oui_56:eb:16,228.2135802469389,1.841854711768237e-46
cat__dst_ip_10.60.0.6,226.4879380865041,4.299708163611015e-46
cat__dst_ip_208.82.238.129,221.92614700555026,4.041138674254175e-45
cat__application_category_name_Cloud,205.17332973928384,1.5024350541121747e-41
cat__server_fingerprint_303951d4c50efb2e991652225a6f02b1,194.51279165537474,2.7913905758905174e-39
cat__application_name_TLS.Microsoft,180.31692090822614,2.905991605473855e-36
cat__src_mac_9a:a4:27:0c:59:ae,168.4300324347079,9.681557577349401e-34
cat__src_oui_9a:a4:27,168.4300324347079,9.681557577349401e-34
cat__server_fingerprint_475c9302dc42b2751db9edcac3b74891,166.6269082984552,2.3348094974194475e-33
cat__src_mac_ae:15:49:da:42:8a,161.958024691376,2.2787767154022773e-32
cat__src_oui_ae:15:49,161.958024691376,2.2787767154022773e-32
cat__application_category_name_Streaming,156.80114001925367,2.8167687440509975e-31
cat__dst_ip_10.70.0.20,154.5962962963135,8.248683080098528e-31
cat__application_category_name_Video,153.05172281983454,1.750556470082978e-30
cat__dst_ip_10.70.0.21,147.23456790125093,2.9726698638790195e-29
cat__dst_ip_103.102.166.224,127.74233865611663,3.8395493424428997e-25
cat__application_name_TLS.Wikipedia,127.74233865611663,3.8395493424428997e-25
